reference,other,metric,diff,ci_low,ci_high,p_value,n_tasks,reject_holm
llm_gate,llm_safety_gptoss,harmful_accept,0.01098901098901099,-0.04945054945054945,0.0879120879120879,0.9036,26,False
llm_gate,llm_safety_gptoss,valid_accept,0.04945054945054946,-0.0714285714285714,0.1813186813186813,0.4962,26,False
llm_gate,llm_safety_gptoss,regret_norm,-0.018649865283516486,-0.03791639293342033,-0.0017124782490384666,0.0614,26,False
llm_gate,oracle,harmful_accept,0.05379408621303883,0.036693979337370855,0.07231920199501247,0.0,401,True
llm_gate,oracle,valid_accept,-0.11756323477021732,-0.1457071606697542,-0.08976665479159258,0.0,401,True
llm_gate,oracle,regret_norm,0.01536724266943356,0.011641999911437478,0.019315506295763275,0.0,401,True
llm_gate,robust_gate,harmful_accept,0.02743142144638404,0.012468827930174564,0.04453152832205201,0.0006,401,True
llm_gate,robust_gate,valid_accept,-0.10153188457427857,-0.12718204488778054,-0.07588172426077663,0.0,401,True
llm_gate,robust_gate,regret_norm,0.013922559644424654,0.010151759426640542,0.017901262794973283,0.0,401,True
llm_gate,verify_then_decide,harmful_accept,0.04951905949412183,0.03277520484503028,0.06768792304951905,0.0,401,True
llm_gate,verify_then_decide,valid_accept,0.12931955824723904,0.09226932668329177,0.1685073031706448,0.0,401,True
llm_gate,verify_then_decide,regret_norm,-0.01991624813900962,-0.027407754310545065,-0.013086545384420209,0.0,401,True
